;SUBTRACT_4-6;
Wavenumbers [1/cm];Absorbance;
4360,7322;0,01356736;
4360,4911;0,01357074;
4360,2500;0,01358116;
4360,0088;0,01355884;
4359,7677;0,013512;
4359,5266;0,01350434;
4359,2855;0,01354158;
4359,0444;0,01358742;
4358,8033;0,01359483;
4358,5622;0,0135649;
4358,3211;0,01354681;
4358,0800;0,01355522;
4357,8388;0,01356592;
4357,5977;0,01357512;
4357,3566;0,01358365;
4357,1155;0,01355018;
4356,8744;0,0134785;
4356,6333;0,0134393;
4356,3922;0,01348267;
4356,1511;0,0135761;
4355,9100;0,01362072;
4355,6688;0,01360633;
4355,4277;0,01359359;
4355,1866;0,01358295;
4354,9455;0,01359789;
4354,7044;0,01366957;
4354,4633;0,01372611;
4354,2222;0,01368461;
4353,9811;0,01358174;
4353,7400;0,01352988;
4353,4988;0,01355243;
4353,2577;0,01355619;
4353,0166;0,01353337;
4352,7755;0,01355515;
4352,5344;0,01361336;
4352,2933;0,01369236;
4352,0522;0,01376642;
4351,8111;0,01378783;
4351,5700;0,01377822;
4351,3289;0,01374875;
4351,0877;0,01368423;
4350,8466;0,01362842;
4350,6055;0,01363074;
4350,3644;0,01367377;
4350,1233;0,01369949;
4349,8822;0,01368032;
4349,6411;0,01363225;
4349,4000;0,01359911;
4349,1589;0,01362896;
4348,9177;0,01369215;
4348,6766;0,0137028;
4348,4355;0,01365133;
4348,1944;0,01358971;
4347,9533;0,01355228;
4347,7122;0,01356099;
4347,4711;0,01360635;
4347,2300;0,01367453;
4346,9889;0,01375445;
4346,7477;0,01377639;
4346,5066;0,01374145;
4346,2655;0,0137472;
4346,0244;0,01378908;
4345,7833;0,01380321;
4345,5422;0,01376964;
4345,3011;0,01369903;
4345,0600;0,01366898;
4344,8189;0,01373332;
4344,5777;0,01380348;
4344,3366;0,01377761;
4344,0955;0,01369195;
4343,8544;0,01365527;
4343,6133;0,01369432;
4343,3722;0,01373587;
4343,1311;0,01374768;
4342,8900;0,01377255;
4342,6489;0,0138157;
4342,4077;0,01384314;
4342,1666;0,01385325;
4341,9255;0,0138595;
4341,6844;0,01387129;
4341,4433;0,01390859;
4341,2022;0,01393928;
4340,9611;0,0138909;
4340,7200;0,01382178;
4340,4789;0,01383793;
4340,2377;0,0138812;
4339,9966;0,01387909;
4339,7555;0,01385903;
4339,5144;0,01382572;
4339,2733;0,01377437;
4339,0322;0,01374449;
4338,7911;0,01375176;
4338,5500;0,01375614;
4338,3089;0,01374794;
4338,0677;0,01376755;
4337,8266;0,01380308;
4337,5855;0,0138349;
4337,3444;0,01389909;
4337,1033;0,01395131;
4336,8622;0,01393095;
4336,6211;0,01392212;
4336,3800;0,01397171;
4336,1389;0,01398169;
4335,8978;0,0139064;
4335,6566;0,01383491;
4335,4155;0,01386241;
4335,1744;0,01392656;
4334,9333;0,01388416;
4334,6922;0,01376348;
4334,4511;0,01369366;
4334,2100;0,01371006;
4333,9689;0,01379755;
4333,7278;0,01388415;
4333,4866;0,01388895;
4333,2455;0,01386483;
4333,0044;0,01386359;
4332,7633;0,01386602;
4332,5222;0,01388658;
4332,2811;0,01391326;
4332,0400;0,01391906;
4331,7989;0,01391616;
4331,5578;0,01391244;
4331,3166;0,01391234;
4331,0755;0,01389997;
4330,8344;0,01384174;
4330,5933;0,01378434;
4330,3522;0,01380884;
4330,1111;0,01386848;
4329,8700;0,01389322;
4329,6289;0,0139002;
4329,3878;0,01385247;
4329,1466;0,01371979;
4328,9055;0,01362134;
4328,6644;0,01365428;
4328,4233;0,01376352;
4328,1822;0,01385147;
4327,9411;0,01386884;
4327,7000;0,01384384;
4327,4589;0,01382002;
4327,2178;0,01381413;
4326,9766;0,01384271;
4326,7355;0,01387218;
4326,4944;0,01386067;
4326,2533;0,01385641;
4326,0122;0,01390648;
4325,7711;0,01396804;
4325,5300;0,01396897;
4325,2889;0,01391863;
4325,0478;0,01387107;
4324,8066;0,01380495;
4324,5655;0,01371292;
4324,3244;0,01368384;
4324,0833;0,01373894;
4323,8422;0,013817;
4323,6011;0,01387914;
4323,3600;0,0138941;
4323,1189;0,01387305;
4322,8778;0,01386575;
4322,6367;0,01387997;
4322,3955;0,0138976;
4322,1544;0,0139024;
4321,9133;0,01385934;
4321,6722;0,01377341;
4321,4311;0,01374202;
4321,1900;0,01380195;
4320,9489;0,0138379;
4320,7078;0,01378046;
4320,4667;0,01373017;
4320,2255;0,01378704;
4319,9844;0,01388189;
4319,7433;0,0138883;
4319,5022;0,01384624;
4319,2611;0,0138678;
4319,0200;0,01388977;
4318,7789;0,01383357;
4318,5378;0,01379071;
4318,2967;0,01381583;
4318,0555;0,01383733;
4317,8144;0,01381526;
4317,5733;0,01378759;
4317,3322;0,01378692;
4317,0911;0,01380352;
4316,8500;0,0138162;
4316,6089;0,01381978;
4316,3678;0,01381588;
4316,1267;0,01378729;
4315,8855;0,01375488;
4315,6444;0,01375253;
4315,4033;0,01374244;
4315,1622;0,01374261;
4314,9211;0,01382209;
4314,6800;0,01390445;
4314,4389;0,0138868;
4314,1978;0,0138269;
4313,9567;0,01380428;
4313,7155;0,01380674;
4313,4744;0,01381295;
4313,2333;0,01382841;
4312,9922;0,01385553;
4312,7511;0,01385709;
4312,5100;0,01378688;
4312,2689;0,01369348;
4312,0278;0,01366836;
4311,7867;0,01371967;
4311,5455;0,01379833;
4311,3044;0,01384349;
4311,0633;0,01379942;
4310,8222;0,01371236;
4310,5811;0,01368713;
4310,3400;0,01374049;
4310,0989;0,01382391;
4309,8578;0,01387904;
4309,6167;0,01387195;
4309,3755;0,01382354;
4309,1344;0,01376416;
4308,8933;0,01370188;
4308,6522;0,01367268;
4308,4111;0,01372602;
4308,1700;0,01380958;
4307,9289;0,01384838;
4307,6878;0,01385307;
4307,4467;0,01382596;
4307,2056;0,01378047;
4306,9644;0,01376422;
4306,7233;0,01376291;
4306,4822;0,01374905;
4306,2411;0,01376474;
4306,0000;0,01380309;
4305,7589;0,01378414;
4305,5178;0,01374894;
4305,2767;0,01377072;
4305,0356;0,01377869;
4304,7944;0,01371523;
4304,5533;0,01363671;
4304,3122;0,01360537;
4304,0711;0,01361648;
4303,8300;0,01365885;
4303,5889;0,01373194;
4303,3478;0,01379072;
4303,1067;0,01381198;
4302,8656;0,01380664;
4302,6244;0,01374368;
4302,3833;0,0136267;
4302,1422;0,01355387;
4301,9011;0,01358855;
4301,6600;0,01368074;
4301,4189;0,01375237;
4301,1778;0,01378031;
4300,9367;0,01375943;
4300,6956;0,01368428;
4300,4544;0,01362734;
4300,2133;0,01365205;
4299,9722;0,01371342;
4299,7311;0,01377411;
4299,4900;0,01381333;
4299,2489;0,01380308;
4299,0078;0,01377496;
4298,7667;0,01375649;
4298,5256;0,01372629;
4298,2844;0,01370685;
4298,0433;0,01373269;
4297,8022;0,01375167;
4297,5611;0,01372388;
4297,3200;0,01371797;
4297,0789;0,01376989;
4296,8378;0,01379452;
4296,5967;0,01374389;
4296,3556;0,01369772;
4296,1144;0,01370396;
4295,8733;0,01373026;
4295,6322;0,0137371;
4295,3911;0,01368813;
4295,1500;0,01361947;
4294,9089;0,01364023;
4294,6678;0,01373646;
4294,4267;0,01377149;
4294,1856;0,01375703;
4293,9445;0,01377875;
4293,7033;0,01378004;
4293,4622;0,01373067;
4293,2211;0,01369245;
4292,9800;0,01367571;
4292,7389;0,01369271;
4292,4978;0,01377993;
4292,2567;0,01387973;
4292,0156;0,01390085;
4291,7745;0,01385529;
4291,5333;0,01379015;
4291,2922;0,01373495;
4291,0511;0,0137336;
4290,8100;0,01377809;
4290,5689;0,0138049;
4290,3278;0,0137972;
4290,0867;0,0137678;
4289,8456;0,01373358;
4289,6045;0,01374747;
4289,3633;0,01377982;
4289,1222;0,01376597;
4288,8811;0,01376511;
4288,6400;0,01379082;
4288,3989;0,01377182;
4288,1578;0,01373362;
4287,9167;0,01372724;
4287,6756;0,01374197;
4287,4345;0,01377077;
4287,1933;0,01379602;
4286,9522;0,01381141;
4286,7111;0,01384774;
4286,4700;0,01387298;
4286,2289;0,01383816;
4285,9878;0,01376584;
4285,7467;0,0136938;
4285,5056;0,01365175;
4285,2645;0,01364901;
4285,0233;0,01366979;
4284,7822;0,01370742;
4284,5411;0,01376251;
4284,3000;0,01380202;
4284,0589;0,01378851;
4283,8178;0,01373593;
4283,5767;0,0136896;
4283,3356;0,01366628;
4283,0945;0,01363093;
4282,8533;0,01359345;
4282,6122;0,0136006;
4282,3711;0,01363208;
4282,1300;0,01368926;
4281,8889;0,01379414;
4281,6478;0,01388195;
4281,4067;0,01390153;
4281,1656;0,01387702;
4280,9245;0,01385466;
4280,6833;0,01387087;
4280,4422;0,01389441;
4280,2011;0,01389616;
4279,9600;0,01391311;
4279,7189;0,0139149;
4279,4778;0,01383913;
4279,2367;0,01374158;
4278,9956;0,01373591;
4278,7545;0,013816;
4278,5134;0,01386162;
4278,2722;0,01386108;
4278,0311;0,01385985;
4277,7900;0,01381324;
4277,5489;0,01373777;
4277,3078;0,0137149;
4277,0667;0,01374341;
4276,8256;0,01377543;
4276,5845;0,01377765;
4276,3434;0,01375472;
4276,1022;0,01373514;
4275,8611;0,01374107;
4275,6200;0,01379052;
4275,3789;0,01382914;
4275,1378;0,01378945;
4274,8967;0,01374139;
4274,6556;0,01375099;
4274,4145;0,01375969;
4274,1734;0,01375689;
4273,9322;0,01379236;
4273,6911;0,01383081;
4273,4500;0,01383359;
4273,2089;0,01383971;
4272,9678;0,0138827;
4272,7267;0,01393683;
4272,4856;0,01395892;
4272,2445;0,01393024;
4272,0034;0,01384253;
4271,7622;0,013751;
4271,5211;0,01373186;
4271,2800;0,01375656;
4271,0389;0,01380086;
4270,7978;0,01385124;
4270,5567;0,01385657;
4270,3156;0,01385228;
4270,0745;0,01387404;
4269,8334;0,01388527;
4269,5922;0,01388167;
4269,3511;0,0138637;
4269,1100;0,01386124;
4268,8689;0,01392415;
4268,6278;0,01398916;
4268,3867;0,01399718;
4268,1456;0,01398414;
4267,9045;0,01397584;
4267,6634;0,01400949;
4267,4222;0,01406861;
4267,1811;0,01407874;
4266,9400;0,01407522;
4266,6989;0,01407705;
4266,4578;0,01401041;
4266,2167;0,01390917;
4265,9756;0,01387973;
4265,7345;0,01391903;
4265,4934;0,01395068;
4265,2523;0,01393462;
4265,0111;0,01390074;
4264,7700;0,01390069;
4264,5289;0,01391647;
4264,2878;0,01390417;
4264,0467;0,01390456;
4263,8056;0,01394881;
4263,5645;0,01396997;
4263,3234;0,01395002;
4263,0823;0,01394641;
4262,8411;0,01396657;
4262,6000;0,01398788;
4262,3589;0,01399363;
4262,1178;0,01397914;
4261,8767;0,01395372;
4261,6356;0,01392252;
4261,3945;0,01389737;
4261,1534;0,01390488;
4260,9123;0,01392479;
4260,6711;0,01389584;
4260,4300;0,01387972;
4260,1889;0,01395176;
4259,9478;0,0140161;
4259,7067;0,01399122;
4259,4656;0,01392519;
4259,2245;0,01390314;
4258,9834;0,01394455;
4258,7423;0,01399494;
4258,5011;0,01400687;
4258,2600;0,01396207;
4258,0189;0,01390443;
4257,7778;0,01391928;
4257,5367;0,01400469;
4257,2956;0,01408903;
4257,0545;0,01413116;
4256,8134;0,01409471;
4256,5723;0,01394507;
4256,3311;0,01374698;
4256,0900;0,01368563;
4255,8489;0,01384649;
4255,6078;0,01400959;
4255,3667;0,01397629;
4255,1256;0,01388324;
4254,8845;0,01391974;
4254,6434;0,01404619;
4254,4023;0,01408852;
4254,1611;0,01401245;
4253,9200;0,01395796;
4253,6789;0,0139925;
4253,4378;0,0140534;
4253,1967;0,01410125;
4252,9556;0,01416244;
4252,7145;0,01424277;
4252,4734;0,01427741;
4252,2323;0,01421021;
4251,9911;0,014113;
4251,7500;0,01406726;
4251,5089;0,01400089;
4251,2678;0,01386201;
4251,0267;0,01377346;
4250,7856;0,01383148;
4250,5445;0,01394802;
4250,3034;0,01402215;
4250,0623;0,01403384;
4249,8212;0,01398801;
4249,5800;0,01392299;
4249,3389;0,0138547;
4249,0978;0,0137914;
4248,8567;0,01378979;
4248,6156;0,01384903;
4248,3745;0,01386948;
4248,1334;0,01381626;
4247,8923;0,01379114;
4247,6512;0,01386896;
4247,4100;0,01398201;
4247,1689;0,01400187;
4246,9278;0,0139213;
4246,6867;0,01386697;
4246,4456;0,01385504;
4246,2045;0,01381235;
4245,9634;0,01378946;
4245,7223;0,01380852;
4245,4812;0,01381007;
4245,2400;0,01385607;
4244,9989;0,0139744;
4244,7578;0,01403409;
4244,5167;0,01397673;
4244,2756;0,01388123;
4244,0345;0,01383729;
4243,7934;0,01386859;
4243,5523;0,01392885;
4243,3112;0,01394586;
4243,0700;0,01390165;
4242,8289;0,01388309;
4242,5878;0,01392667;
4242,3467;0,01395022;
4242,1056;0,01393576;
