;ALPHA_KS_MATRIX3-2;
Wavelength [nm];Intensity;
729,8413;-0,0006119;
730,0824;-0,000575;
730,3236;-0,0005578;
730,5647;-0,0005782;
730,8058;-0,0006022;
731,0469;-0,000616;
731,2880;-0,0006412;
731,5291;-0,0006706;
731,7702;-0,0006715;
732,0113;-0,0006578;
732,2524;-0,0006687;
732,4936;-0,0006848;
732,7347;-0,000662;
732,9758;-0,0006232;
733,2169;-0,0006161;
733,4580;-0,0006325;
733,6991;-0,0006458;
733,9402;-0,0006607;
734,1813;-0,0006706;
734,4224;-0,0006502;
734,6636;-0,0006162;
734,9047;-0,0006284;
735,1458;-0,0006972;
735,3869;-0,0007681;
735,6280;-0,0008164;
735,8691;-0,0008508;
736,1102;-0,0008486;
736,3513;-0,0007934;
736,5924;-0,0007375;
736,8336;-0,0007528;
737,0747;-0,0008321;
737,3158;-0,0009018;
737,5569;-0,0009099;
737,7980;-0,0008547;
738,0391;-0,0007824;
738,2802;-0,0007495;
738,5213;-0,000756;
738,7624;-0,0007831;
739,0035;-0,0008242;
739,2447;-0,0008566;
739,4858;-0,0008757;
739,7269;-0,0008851;
739,9680;-0,000873;
740,2091;-0,0008572;
740,4502;-0,0008648;
740,6913;-0,0008863;
740,9324;-0,0009071;
741,1735;-0,0009343;
741,4147;-0,0009581;
741,6558;-0,0009523;
741,8969;-0,0009192;
742,1380;-0,0008865;
742,3791;-0,0008784;
742,6202;-0,00089;
742,8613;-0,0009134;
743,1024;-0,0009549;
743,3435;-0,000982;
743,5847;-0,000961;
743,8258;-0,0009272;
744,0669;-0,0009268;
744,3080;-0,000956;
744,5491;-0,0009861;
744,7902;-0,0009993;
745,0313;-0,0010036;
745,2724;-0,001025;
745,5135;-0,0010587;
745,7547;-0,0010593;
745,9958;-0,0010255;
746,2369;-0,0009993;
746,4780;-0,0009888;
746,7191;-0,0009959;
746,9602;-0,0010342;
747,2013;-0,0010835;
747,4424;-0,0011032;
747,6835;-0,0010797;
747,9247;-0,0010405;
748,1658;-0,0010275;
748,4069;-0,0010571;
748,6480;-0,0010937;
748,8891;-0,001104;
749,1302;-0,0011066;
749,3713;-0,0011044;
749,6124;-0,0010807;
749,8535;-0,0010475;
750,0947;-0,0010405;
750,3358;-0,0010823;
750,5769;-0,0011291;
750,8180;-0,0011413;
751,0591;-0,0011496;
751,3002;-0,0011787;
751,5413;-0,0011995;
751,7824;-0,0011818;
752,0235;-0,0011601;
752,2647;-0,0011609;
752,5058;-0,0011599;
752,7469;-0,0011568;
752,9880;-0,0011404;
753,2291;-0,0010976;
753,4702;-0,0010644;
753,7113;-0,0010622;
753,9524;-0,0010942;
754,1935;-0,0011463;
754,4347;-0,0011759;
754,6758;-0,0011776;
754,9169;-0,0011715;
755,1580;-0,0011618;
755,3991;-0,0011621;
755,6402;-0,0011747;
755,8813;-0,0011666;
756,1224;-0,0011372;
756,3635;-0,0011397;
756,6047;-0,0011788;
756,8458;-0,0012006;
757,0869;-0,0011941;
757,3280;-0,0011905;
757,5691;-0,0011963;
757,8102;-0,0011893;
758,0513;-0,001176;
758,2924;-0,0011997;
758,5335;-0,0012477;
758,7747;-0,0012525;
759,0158;-0,0012081;
759,2569;-0,0011714;
759,4980;-0,0011567;
759,7391;-0,0011283;
759,9802;-0,0011037;
760,2213;-0,0011311;
760,4624;-0,0011812;
760,7035;-0,001193;
760,9447;-0,0011693;
761,1858;-0,0011491;
761,4269;-0,0011538;
761,6680;-0,001177;
761,9091;-0,0012016;
762,1502;-0,001217;
762,3913;-0,0012173;
762,6324;-0,0012066;
762,8735;-0,0011873;
