;alpha_KS_Matrix7-3sub;
Wavenumbers [1/cm];Absorbance;
4402,2033;-0,002810502;
4401,9621;-0,002781343;
4401,7210;-0,002720099;
4401,4799;-0,002729316;
4401,2388;-0,002861929;
4400,9977;-0,002974303;
4400,7566;-0,002944566;
4400,5155;-0,002823528;
4400,2744;-0,002670511;
4400,0333;-0,002544098;
4399,7921;-0,002549801;
4399,5510;-0,002694326;
4399,3099;-0,002813048;
4399,0688;-0,002804502;
4398,8277;-0,002760819;
4398,5866;-0,002751992;
4398,3455;-0,002762401;
4398,1044;-0,002798595;
4397,8633;-0,002841208;
4397,6221;-0,002848808;
4397,3810;-0,002851237;
4397,1399;-0,002880292;
4396,8988;-0,002876485;
4396,6577;-0,002798722;
4396,4166;-0,002743596;
4396,1755;-0,002768249;
4395,9344;-0,002766655;
4395,6933;-0,002724729;
4395,4521;-0,002747472;
4395,2110;-0,002805527;
4394,9699;-0,0028237;
4394,7288;-0,00282514;
4394,4877;-0,002828537;
4394,2466;-0,002804064;
4394,0055;-0,002754532;
4393,7644;-0,002766068;
4393,5233;-0,002859104;
4393,2822;-0,002886988;
4393,0410;-0,002797185;
4392,7999;-0,002734495;
4392,5588;-0,002743187;
4392,3177;-0,002754946;
4392,0766;-0,002780433;
4391,8355;-0,002829695;
4391,5944;-0,002874827;
4391,3533;-0,002897496;
4391,1122;-0,00288651;
4390,8710;-0,002864981;
4390,6299;-0,002885787;
4390,3888;-0,002943888;
4390,1477;-0,00294845;
4389,9066;-0,002901476;
4389,6655;-0,002893326;
4389,4244;-0,002890762;
4389,1833;-0,00282819;
4388,9422;-0,002757747;
4388,7010;-0,002765128;
4388,4599;-0,002851259;
4388,2188;-0,002916029;
4387,9777;-0,002882696;
4387,7366;-0,002798889;
4387,4955;-0,002752549;
4387,2544;-0,002774891;
4387,0133;-0,002876355;
4386,7722;-0,003026008;
4386,5310;-0,003120868;
4386,2899;-0,003098888;
4386,0488;-0,002987061;
4385,8077;-0,002872623;
4385,5666;-0,002843859;
4385,3255;-0,002877417;
4385,0844;-0,002877907;
4384,8433;-0,002859063;
4384,6022;-0,002884431;
4384,3610;-0,00290673;
4384,1199;-0,002892863;
4383,8788;-0,002881929;
4383,6377;-0,002877039;
4383,3966;-0,002867174;
4383,1555;-0,00285604;
4382,9144;-0,002855744;
4382,6733;-0,002864027;
4382,4322;-0,002868569;
4382,1910;-0,002892572;
4381,9499;-0,002914884;
4381,7088;-0,002891621;
4381,4677;-0,002878089;
4381,2266;-0,002918702;
4380,9855;-0,002974572;
4380,7444;-0,003020395;
4380,5033;-0,00303874;
4380,2622;-0,003006021;
4380,0211;-0,002938336;
4379,7799;-0,002899925;
4379,5388;-0,002954499;
4379,2977;-0,003033812;
4379,0566;-0,003027955;
4378,8155;-0,002997723;
4378,5744;-0,003036846;
4378,3333;-0,00310278;
4378,0922;-0,003117942;
4377,8511;-0,003092828;
4377,6099;-0,003073858;
4377,3688;-0,003028866;
4377,1277;-0,002960941;
4376,8866;-0,002967523;
4376,6455;-0,003055905;
4376,4044;-0,0031275;
4376,1633;-0,003117693;
4375,9222;-0,003076075;
4375,6811;-0,003083739;
4375,4399;-0,003100449;
4375,1988;-0,003077028;
4374,9577;-0,0030646;
4374,7166;-0,003081092;
4374,4755;-0,003074965;
4374,2344;-0,003008636;
4373,9933;-0,002933801;
4373,7522;-0,002932421;
4373,5111;-0,002988625;
4373,2699;-0,003051333;
4373,0288;-0,003075664;
4372,7877;-0,003049812;
4372,5466;-0,003063198;
4372,3055;-0,003120269;
4372,0644;-0,003106024;
4371,8233;-0,003044587;
4371,5822;-0,003040648;
4371,3411;-0,003078174;
4371,0999;-0,003088405;
4370,8588;-0,003084161;
4370,6177;-0,003118024;
4370,3766;-0,003163658;
4370,1355;-0,003167653;
4369,8944;-0,003116799;
4369,6533;-0,003022123;
4369,4122;-0,002945647;
4369,1711;-0,002935192;
4368,9299;-0,002971638;
4368,6888;-0,003028723;
4368,4477;-0,003071659;
4368,2066;-0,003096639;
4367,9655;-0,003146952;
4367,7244;-0,003229556;
4367,4833;-0,003312088;
4367,2422;-0,003355494;
4367,0011;-0,003304075;
4366,7599;-0,00318093;
4366,5188;-0,003113878;
4366,2777;-0,003121383;
4366,0366;-0,003115001;
4365,7955;-0,003092878;
4365,5544;-0,00309609;
4365,3133;-0,003140909;
4365,0722;-0,003223114;
4364,8311;-0,003259905;
4364,5900;-0,003191578;
4364,3488;-0,003111437;
4364,1077;-0,003090669;
4363,8666;-0,003090702;
4363,6255;-0,00311411;
4363,3844;-0,003158639;
4363,1433;-0,003172174;
4362,9022;-0,00318049;
4362,6611;-0,003229738;
4362,4200;-0,003262118;
4362,1788;-0,003255782;
4361,9377;-0,00329124;
4361,6966;-0,003339065;
4361,4555;-0,003297805;
4361,2144;-0,00323396;
4360,9733;-0,003250086;
4360,7322;-0,003279014;
4360,4911;-0,003264029;
4360,2500;-0,003264097;
4360,0088;-0,003278183;
4359,7677;-0,003260174;
4359,5266;-0,003234051;
4359,2855;-0,003246106;
4359,0444;-0,003270865;
4358,8033;-0,003244115;
4358,5622;-0,003216307;
4358,3211;-0,003249851;
4358,0800;-0,00327698;
4357,8388;-0,003258782;
4357,5977;-0,003240608;
4357,3566;-0,003226495;
4357,1155;-0,003193911;
4356,8744;-0,003161672;
4356,6333;-0,003152285;
4356,3922;-0,003206073;
4356,1511;-0,003317135;
4355,9100;-0,003379311;
4355,6688;-0,003369549;
4355,4277;-0,003345681;
4355,1866;-0,003330451;
4354,9455;-0,00335695;
4354,7044;-0,003425934;
4354,4633;-0,003475741;
4354,2222;-0,003465792;
4353,9811;-0,00339793;
4353,7400;-0,003305915;
4353,4988;-0,003259912;
4353,2577;-0,003265459;
4353,0166;-0,003273222;
4352,7755;-0,003293933;
4352,5344;-0,003355145;
4352,2933;-0,003462595;
4352,0522;-0,003550731;
4351,8111;-0,003543234;
4351,5700;-0,003484021;
4351,3289;-0,003411874;
4351,0877;-0,003327619;
4350,8466;-0,003280054;
4350,6055;-0,003293452;
4350,3644;-0,003341632;
